X,Y,Class
0.0094,14.595,high
6.5219,14.5281,high
818.8524,12.6413,high
0.001,9.9726,low
0.001,9.3862,low
0.001,10.1753,low
0.001,10.0847,low
11.1157,15.1464,high
1.3923,16.6789,high
0.0137,13.9371,high
0.001,10.38,low
9.2007,13.7714,high
0.001,9.7982,low
0.001,9.8188,low
0.001,10.2778,low
1.4605,13.3676,high
0.1408,12.4137,high
0.001,9.624,low
2.6183,14.2075,high
0.0599,16.8269,high
0.001,9.4967,low
0.001,10.3971,low
0.001,10.8635,low
0.001,9.9199,low
0.001,10.435,low
0.036,13.2295,high
0.001,10.1996,low
0.001,9.3441,low
0.001,8.5393,low
18.8568,12.2684,high
0.4122,14.6371,high
0.011,15.4858,high
33.91,16.4693,high
22.3232,18.4241,high
0.5859,15.0689,high
1480.6868,13.7772,high
1540.1911,12.8675,high
0.001,9.9596,low
0.001,9.9156,low
589.2775,13.4547,high
399.1996,14.3384,high
31484.9613,12.4599,high
0.001,9.7813,low
0.001,10.1169,low
0.0678,13.787,high
0.001,9.6782,low
0.001,10.2845,low
0.0172,13.5804,high
0.07,14.9859,high
0.001,10.5743,low
0.001,10.3176,low
0.0043,12.8583,high
0.001,9.9558,low
31.9285,17.1486,high
0.1004,13.1241,high
0.001,9.9507,low
0.0297,11.6253,high
2.5086,17.5589,high
0.0155,13.4806,high
0.0073,15.4242,high
0.8802,12.5251,high
1.2643,14.8023,high
2.9901,13.0745,high
0.1874,12.1282,high
0.001,10.1303,low
0.001,10.2505,low
76.8974,14.1377,high
0.6944,11.9144,high
3.1155,14.346,high
7.3146,19.1721,high
0.001,10.6313,low
0.001,10.5253,low
0.001,10.8123,low
0.001,9.947,low
0.001,9.3729,low
0.001,10.0974,low
61.6084,14.8922,high
0.0283,12.4843,high
0.001,10.8363,low
176.7996,13.6108,high
0.0088,13.2766,high
0.001,9.666,low
80.5089,16.31,high
18.6962,14.0818,high
0.0147,14.6995,high
0.001,9.9047,low
0.001,9.3852,low
0.0234,12.6064,high
0.001,10.4592,low
0.001,9.7673,low
0.001,10.371,low
0.001,10.2932,low
64.9372,12.3039,high
0.001,10.8877,low
0.1287,18.7154,high
0.1297,15.1563,high
0.0077,14.5868,high
2.7154,18.8407,high
3053.4909,16.9912,high
0.001,10.3241,low
0.0653,18.9831,high
7.824,14.7192,high
0.8986,15.1572,high
9.3582,16.5194,high
0.0021,12.7656,high
0.001,9.7131,low
0.001,10.4748,low
0.001,9.0168,low
0.001,9.5388,low
0.001,10.1906,low
0.001,9.6408,low
2.7432,15.3881,high
56.4886,11.4138,high
0.1998,17.4792,high
0.6701,11.0978,high
0.001,10.3542,low
0.001,10.4416,low
2.4665,15.0694,high
81.377,13.3752,high
51190.0061,15.8937,high
0.001,9.9954,low
0.001,9.4733,low
0.0437,16.1035,high
102.881,15.3445,high
0.001,10.6962,low
8.222,12.718,high
0.0409,17.902,high
0.001,10.842,low
165.3563,10.9001,high
0.001,9.1583,low
222.6219,16.0306,high
1.4581,16.9556,high
0.001,10.2734,low
0.001,10.4203,low
0.3232,11.24,high
0.001,10.2694,low
0.001,10.8142,low
0.001,9.8944,low
0.001,9.2221,low
0.001,10.3169,low
0.001,10.4752,low
0.6634,15.3621,high
0.001,9.9032,low
14.5147,16.4254,high
0.0219,11.0659,high
0.001,9.8152,low
0.001,10.211,low
0.001,9.8982,low
247.1101,15.2621,high
0.001,9.5158,low
10.8348,14.6813,high
0.0215,17.624,high
82.3359,13.8364,high
0.001,9.2891,low
0.001,10.4237,low
7709.5908,13.0639,high
0.001,9.623,low
0.001,10.5744,low
0.001,9.767,low
0.001,9.9149,low
0.001,10.6552,low
73.727,10.827,high
133.5231,13.9612,high
1.9499,17.4379,high
0.1465,16.775,high
29.603,15.6442,high
0.477,14.6283,high
0.001,9.6288,low
0.001,10.3767,low
4.6087,16.8992,high
0.3081,16.7628,high
17.7069,12.6522,high
0.001,9.9903,low
0.4656,14.1752,high
11.8314,13.0687,high
0.001,10.3638,low
0.001,10.1825,low
14.2672,14.5146,high
22.5917,14.7157,high
0.001,10.6978,low
0.0341,15.6652,high
0.5632,16.3908,high
0.001,10.0598,low
5.0385,14.7873,high
601.2514,15.9401,high
0.001,9.9807,low
0.3958,17.499,high
0.001,10.0283,low
0.001,9.4879,low
0.001,9.877,low
0.001,9.7842,low
0.001,10.0611,low
0.001,9.9928,low
0.001,10.282,low
0.001,8.9236,low
0.4807,12.6094,high
0.001,10.2136,low
0.001,9.8953,low
8.4557,14.7059,high
0.001,9.4021,low
0.001,9.7763,low
0.001,10.3357,low
18.2947,12.9473,high
0.1334,14.0447,high
0.001,10.0285,low
0.001,10.7463,low
0.001,9.2187,low
0.001,10.6879,low
0.0968,14.8706,high
0.001,10.2566,low
0.001,9.8779,low
0.001,9.6076,low
3.4966,11.2337,high
0.001,10.2648,low
0.7416,14.7399,high
6.4379,14.2086,high
0.001,9.2372,low
0.1364,17.3838,high
26.9958,11.2604,high
139.0589,15.5336,high
0.001,10.2262,low
1.0359,15.9012,high
0.1478,18.3072,high
12.764,17.6627,high
0.001,10.5393,low
1.1115,12.8452,high
0.001,9.8104,low
28.3335,14.3182,high
0.4642,17.2437,high
0.001,10.0882,low
0.268,13.8788,high
0.001,10.3612,low
0.001,10.154,low
0.001,9.9868,low
65.9623,15.4487,high
203.0663,13.552,high
0.001,9.9244,low
12.0244,19.2495,high
0.001,10.1848,low
3.4537,16.5657,high
0.001,10.2963,low
1342.5323,9.7937,high
0.001,10.1302,low
1.4391,16.808,high
0.001,8.6484,low
0.001,9.2118,low
0.001,9.7946,low
0.001,10.5003,low
333.3045,13.0243,high
0.001,10.3389,low
0.0282,15.6951,high
0.001,10.0094,low
0.001,10.0409,low
0.5107,14.7559,high
0.001,10.1836,low
0.001,9.7859,low
0.001,9.8234,low
1.4636,17.559,high
1.3564,14.5767,high
0.001,10.374,low
0.001,10.0527,low
21.905,16.1362,high
0.7506,13.5756,high
0.001,9.857,low
0.001,9.9712,low
5.4007,10.7425,high
0.3472,14.2554,high
6.2416,13.9972,high
0.001,9.8418,low
1.6792,10.2194,high
4.4165,13.4089,high
0.001,9.875,low
0.001,10.482,low
0.0128,14.8127,high
23.586,15.9331,high
0.4969,16.6403,high
0.001,10.7654,low
0.001,9.6659,low
0.001,10.2144,low
0.0345,17.3078,high
13.9655,13.5706,high
0.1434,16.9168,high
0.001,9.5508,low
0.001,10.2183,low
3.2838,15.9721,high
0.001,9.4926,low
0.0273,16.3741,high
33.9577,15.9503,high
35.7664,15.8566,high
0.001,9.5135,low
0.001,9.8746,low
0.001,10.3064,low
528.9552,10.7887,high
28.2113,16.5503,high
0.001,10.9366,low
0.2107,12.7719,high
0.001,9.8405,low
0.001,11.0281,low
0.0438,15.9469,high
0.001,10.868,low
0.1941,15.676,high
0.0447,16.1808,high
0.5608,15.4629,high
0.2863,17.0589,high
0.5022,13.9482,high
0.001,9.2908,low
43.9873,18.7946,high
0.001,9.0819,low
0.001,10.7055,low
0.6319,16.4712,high
1.0163,17.2026,high
37.7285,16.4122,high
0.001,10.4672,low
0.001,10.247,low
0.0891,14.7525,high
0.001,10.835,low
0.001,10.215,low
23.022,15.6264,high
0.001,10.5444,low
0.0731,13.378,high
0.0743,13.9964,high
30.2194,14.0977,high
0.001,9.2146,low
0.001,10.5947,low
0.001,10.538,low
1.525,14.6349,high
0.1178,10.8698,high
0.3904,14.7001,high
21.2369,14.9354,high
5082.2833,13.5294,high
0.001,9.5088,low
7.9921,17.3892,high
4.4133,13.4865,high
0.2407,14.0049,high
4.2884,15.0569,high
0.001,9.4732,low
37.2965,12.8157,high
42.3539,17.4584,high
0.1145,10.8358,high
0.001,9.4538,low
120.4855,13.3487,high
36.1122,16.8758,high
0.0249,15.4255,high
0.001,10.543,low
0.001,10.4264,low
16.5446,16.0426,high
0.4834,15.391,high
4885.5608,14.9283,high
0.1868,13.2865,high
57.7262,15.0352,high
17.6797,15.3134,high
50.9388,13.7757,high
0.001,10.5938,low
0.5515,15.3409,high
2.6345,10.8488,high
0.4303,17.1775,high
0.001,10.2268,low
0.001,10.254,low
0.001,9.9265,low
0.3378,15.5675,high
0.3947,13.4403,high
0.3845,15.1024,high
0.001,10.0613,low
0.001,10.3046,low
8.2762,11.9711,high
0.001,9.7189,low
0.001,10.1549,low
0.001,9.815,low
0.9366,16.0443,high
0.001,9.6716,low
0.001,10.4929,low
0.8443,18.0604,high
0.001,9.7853,low
51.7388,15.703,high
1437.4686,17.8371,high
0.001,10.0704,low
0.1093,13.6835,high
0.001,10.0384,low
7.5575,14.2474,high
0.001,10.3541,low
0.001,10.0616,low
0.001,10.2943,low
0.001,10.3674,low
0.001,9.2605,low
12.2069,13.5862,high
0.001,9.5142,low
0.001,10.5866,low
1.1963,15.8587,high
0.001,10.096,low
0.001,9.4765,low
0.001,9.6805,low
0.001,10.3625,low
10.3591,13.1149,high
2.0076,15.468,high
0.1012,15.4581,high
10.5297,18.2868,high
0.0299,16.0005,high
304.9183,14.8812,high
0.001,9.8147,low
0.9549,13.8989,high
0.8505,15.2861,high
0.001,9.9391,low
0.001,10.0078,low
0.001,10.2683,low
0.001,9.8454,low
0.3547,19.0996,high
0.4538,17.9331,high
1995.0803,12.471,high
0.6444,11.877,high
0.0093,15.3555,high
0.001,10.9423,low
0.001,10.3482,low
26.895,14.0575,high
3.2066,17.2078,high
0.044,17.0471,high
0.001,10.0566,low
0.001,9.6136,low
6.2219,12.2229,high
0.1286,14.5187,high
17.3189,15.907,high
5.9976,14.8018,high
0.6184,13.8889,high
0.3779,13.0354,high
0.001,10.4777,low
0.001,9.6535,low
0.001,10.0973,low
0.0407,12.9229,high
1.0938,16.8008,high
0.001,9.9313,low
2.0426,17.1147,high
115.1589,13.8998,high
0.001,9.6782,low
0.001,10.1973,low
1.6548,14.3071,high
0.001,10.0244,low
0.001,10.2792,low
3.5179,9.186,high
0.0325,13.0709,high
0.001,10.1943,low
7.3308,14.2504,high
0.0147,17.1175,high
0.001,11.0376,low
0.001,9.6416,low
0.001,9.4105,low
0.001,9.8925,low
133.651,15.118,high
0.0044,15.1457,high
0.6647,18.0561,high
0.001,9.2678,low
0.001,9.4674,low
0.5373,16.3294,high
0.001,10.2121,low
0.001,10.0803,low
0.0365,15.282,high
0.001,9.7038,low
3742.2274,13.1674,high
6.8104,13.9804,high
0.001,10.4623,low
0.001,9.415,low
0.001,10.1494,low
0.001,9.7323,low
1.3957,13.0598,high
68.4802,16.3431,high
75.5077,12.3008,high
0.5192,10.6077,high
0.001,11.0726,low
45.22,14.3559,high
0.001,9.8794,low
0.001,10.1596,low
0.0329,13.9328,high
0.001,8.723,low
0.6728,18.0465,high
0.001,10.6586,low
0.001,9.9444,low
35.245,17.3404,high
0.2218,15.6327,high
0.0941,16.0667,high
2.0644,16.1475,high
36.9561,17.7727,high
0.001,10.496,low
1.7675,16.684,high
0.001,10.1428,low
0.001,9.7531,low
0.001,10.0107,low
0.001,10.6086,low
0.3918,11.3124,high
6.7536,19.5429,high
0.001,10.631,low
0.1017,13.4884,high
0.001,9.9337,low
4369.4488,11.3366,high
0.2541,17.0189,high
72.968,12.3265,high
595.7688,19.1059,high
0.0014,17.0974,high
0.001,10.498,low
0.0946,11.4963,high
0.001,10.0104,low
489.9362,14.3698,high
1.4977,15.8645,high
0.001,9.8484,low
0.001,9.8757,low
0.001,9.6221,low
0.001,10.7454,low
1.4599,16.1827,high
0.001,9.2035,low
1.6819,16.9568,high
0.5143,15.0986,high
12.6379,17.8577,high
0.001,11.2199,low
144.1248,13.8565,high
0.001,9.6961,low
112.6875,15.9937,high
0.001,9.8166,low
0.001,9.333,low
0.001,10.1337,low
3.0569,15.9824,high
3301.1685,11.6628,high
75.0569,13.374,high
0.0249,15.365,high
0.001,9.4548,low
0.001,9.9687,low
16.5398,17.3855,high
6.9319,15.925,high
0.001,8.7045,low
0.001,9.6216,low
0.001,10.3711,low
0.001,11.0711,low
33.6245,14.2771,high
0.001,9.997,low
0.001,9.7631,low
0.2225,12.4257,high
1839.1563,14.0061,high
0.001,10.1269,low
0.001,9.6896,low
2.1083,15.8695,high
0.0518,15.0014,high
0.001,9.9642,low
0.001,9.9679,low
0.001,10.8511,low
0.001,9.5233,low
0.001,10.5528,low
0.001,10.2898,low
0.001,10.319,low
0.001,10.3366,low
0.0058,16.5587,high
27.332,16.064,high
17.7807,13.4213,high
0.5869,11.4579,high
0.001,9.9648,low
13.1617,15.9156,high
0.001,11.0308,low
0.001,10.5548,low
0.4401,15.886,high
0.001,10.0905,low
1.0126,14.0843,high
0.001,10.1607,low
0.001,10.3236,low
0.001,9.5971,low
0.001,9.6872,low
0.1513,15.2901,high
0.001,10.2338,low
0.001,10.7504,low
0.001,10.6105,low
0.0254,10.7348,high
0.001,10.0632,low
0.001,10.3892,low
6.5224,18.2637,high
0.001,9.9559,low
139.759,14.8172,high
0.001,10.0972,low
0.001,9.9086,low
0.001,9.9302,low
8.1954,12.5957,high
17.6684,14.2344,high
0.001,8.7879,low
0.001,9.8042,low
8.6316,14.0737,high
0.001,10.1629,low
0.001,9.2079,low
0.001,9.388,low
0.001,9.5765,low
4.2074,11.049,high
0.001,10.4704,low
236.7453,12.5542,high
2.1286,16.1063,high
1.5991,12.0517,high
0.001,9.4776,low
0.001,9.6769,low
0.0534,11.1813,high
0.001,9.9697,low
2.5945,13.9511,high
0.001,10.69,low
0.001,10.6329,low
0.001,10.2142,low
0.1064,16.7529,high
1.3346,11.3377,high
0.001,9.673,low
11.0391,14.5687,high
0.001,9.9886,low
0.001,9.9499,low
701.021,18.9065,high
0.001,10.0628,low
0.0677,15.5739,high
0.001,10.0448,low
0.001,9.7581,low
2563.0876,17.4753,high
0.001,10.2544,low
3.2724,17.3181,high
0.001,9.8041,low
4.6702,16.9031,high
0.001,9.6322,low
0.0636,12.1864,high
16.5043,16.1081,high
241.2721,16.9922,high
0.1788,12.4897,high
8.9812,12.753,high
0.001,9.3828,low
0.001,9.4688,low
0.001,10.2385,low
0.1688,14.3488,high
0.001,9.7336,low
0.001,9.9064,low
11.2273,15.6222,high
0.8948,15.5173,high
0.001,9.9863,low
10.5181,16.7444,high
0.1693,13.0201,high
4.5336,13.9036,high
0.001,10.2974,low
0.001,10.0898,low
7.1937,19.5449,high
0.001,10.2279,low
7.6084,10.6459,high
0.001,9.8392,low
0.001,10.2446,low
0.001,10.019,low
0.001,9.6275,low
116.6688,12.7768,high
1.3036,14.2839,high
0.2275,17.6516,high
0.001,9.928,low
0.001,10.3547,low
0.001,9.6887,low
27.3442,19.1358,high
7.9047,14.3272,high
0.001,9.1196,low
69.7464,15.4088,high
0.0032,12.8053,high
0.1671,10.5664,high
42.4461,21.3041,high
0.001,9.8738,low
2.2785,14.7787,high
0.001,9.8057,low
0.001,10.339,low
0.001,10.563,low
0.001,9.7241,low
2.6323,15.9751,high
0.001,10.257,low
37.6065,16.5281,high
0.001,10.1967,low
0.0712,16.6565,high
0.001,9.5984,low
0.4786,16.6216,high
0.001,10.4766,low
0.001,10.3096,low
0.001,10.4312,low
0.001,10.3796,low
1.0651,12.6363,high
1143.184,15.872,high
0.001,9.8002,low
0.001,9.9547,low
0.0598,19.0937,high
5.9661,15.321,high
0.5696,16.0726,high
0.001,9.8877,low
0.001,9.7585,low
0.001,10.2762,low
35.577,9.1411,high
0.001,10.7507,low
3428.7661,15.1734,high
0.001,10.3226,low
91.3385,17.3638,high
0.001,9.403,low
6.9485,11.184,high
1.1694,16.8275,high
0.001,10.0335,low
0.001,11.3008,low
0.001,11.0855,low
1.7618,13.436,high
0.001,9.3344,low
174417.0229,17.1227,high
0.001,11.0787,low
0.001,9.5481,low
0.001,9.675,low
16.057,17.607,high
0.001,10.3,low
0.001,11.3222,low
0.001,10.5351,low
0.001,10.5864,low
0.001,10.9792,low
0.8287,13.4549,high
0.0466,15.62,high
8.2374,17.7251,high
0.001,10.1644,low
2.5069,16.2165,high
0.0131,13.5847,high
1.4294,14.521,high
3.8078,15.6434,high
1.1648,18.1889,high
99341.6244,15.6459,high
0.001,10.1998,low
16.4737,18.0068,high
9.1558,14.777,high
1.6874,15.458,high
0.001,9.9875,low
0.001,10.8077,low
0.0983,15.3189,high
0.0014,17.3735,high
0.001,9.8512,low
0.0025,17.164,high
7.8485,12.9485,high
455.3647,15.0939,high
0.001,9.8616,low
55.9465,14.5551,high
0.001,10.6872,low
0.001,10.1496,low
0.001,9.9463,low
8.1349,12.714,high
0.001,9.0031,low
0.001,9.5142,low
0.2659,12.2084,high
0.001,9.9602,low
52.0236,10.9484,high
3.6677,17.2118,high
4.4594,15.4047,high
0.001,10.8861,low
0.001,9.6327,low
0.001,10.2118,low
0.119,13.8387,high
0.001,10.1757,low
0.001,11.2899,low
44.2203,17.7411,high
0.001,10.4568,low
46.2135,17.5508,high
18.0311,15.8746,high
0.001,9.1932,low
0.001,10.3485,low
3893.6857,16.9506,high
0.001,9.0009,low
0.001,10.0734,low
0.001,10.927,low
0.4808,13.9507,high
0.001,10.1979,low
1.1462,15.6416,high
382.5262,14.1771,high
0.001,10.5621,low
0.001,9.5952,low
0.328,15.2987,high
0.1606,18.1812,high
0.001,10.6951,low
1367.7584,16.4211,high
69.7776,14.6994,high
441.4597,13.109,high
3.3488,16.0313,high
0.001,9.8702,low
0.0901,12.6933,high
1.0262,15.0904,high
0.001,8.5519,low
0.001,9.9065,low
0.0075,16.0272,high
1254.3102,15.8431,high
0.001,10.54,low
0.001,10.2805,low
0.2051,14.1728,high
0.001,10.4981,low
0.001,9.7823,low
26.5839,16.3857,high
0.001,10.1406,low
0.001,10.3108,low
14.1392,18.3528,high
0.0544,14.2799,high
0.5578,18.4063,high
0.001,9.9721,low
0.001,9.9328,low
0.001,10.0743,low
0.001,9.6559,low
1.5564,16.5022,high
0.095,15.4656,high
0.001,9.6233,low
0.001,9.925,low
0.001,9.0104,low
0.001,9.3879,low
0.001,10.2478,low
1.4657,15.8517,high
111.1406,14.922,high
63.6891,17.5185,high
1.3403,11.5047,high
0.001,10.5248,low
15143.9724,13.4508,high
0.001,10.1732,low
0.0119,12.4419,high
7.9303,15.4515,high
0.001,10.5937,low
0.001,10.2896,low
0.001,10.8061,low
0.392,13.0532,high
4.3847,11.0435,high
26.236,16.1723,high
8.1303,13.5435,high
0.001,9.1657,low
0.001,9.48,low
1.3011,14.8326,high
0.001,9.6933,low
19.5371,15.8895,high
0.001,10.5163,low
0.001,10.0988,low
0.001,10.8061,low
0.001,10.618,low
0.001,10.23,low
0.001,9.9862,low
0.1328,13.3359,high
0.001,10.7808,low
13.663,14.2563,high
0.0128,15.5854,high
1.7005,14.44,high
4904.3369,13.4951,high
14.2234,14.6041,high
247.3863,18.405,high
0.001,10.2556,low
5.7243,17.9019,high
0.001,10.2035,low
0.001,10.1886,low
10.2594,11.364,high
30.7596,13.8061,high
0.001,9.4471,low
0.503,12.1695,high
0.0115,14.3011,high
0.001,10.6522,low
12.6594,17.1303,high
0.001,10.0715,low
0.001,9.7232,low
242.8768,16.716,high
0.078,17.3455,high
0.7627,17.6509,high
92.5781,16.5217,high
0.6777,16.1718,high
72.865,13.2379,high
0.001,10.0412,low
0.001,10.6874,low
212.3573,18.8824,high
0.0636,18.8469,high
0.001,9.6971,low
0.9337,12.8997,high
0.001,10.2504,low
357.6869,17.1395,high
0.1848,16.4292,high
0.001,9.7625,low
0.001,11.2465,low
2.5246,13.6155,high
6.5598,17.8727,high
40542.5489,11.7995,high
0.001,9.7868,low
56.3017,18.8703,high
0.001,8.8185,low
2.5454,11.9085,high
0.001,10.787,low
1492.2402,15.291,high
0.001,9.6642,low
0.0011,11.2605,high
3.3126,16.1655,high
15193.8115,14.0329,high
0.001,10.6042,low
0.001,10.0709,low
85.3851,14.8141,high
0.3087,11.1844,high
0.1568,18.299,high
0.001,9.8597,low
0.001,8.7503,low
0.7287,16.7859,high
0.001,10.4476,low
2.6306,17.7691,high
42.1902,15.379,high
112746.3585,10.0135,high
0.001,9.9013,low
83.0503,12.4016,high
1.9723,13.2792,high
0.001,10.4595,low
0.001,10.4738,low
1.6159,14.6418,high
0.001,9.3264,low
0.001,10.0752,low
0.001,10.2049,low
0.001,10.82,low
0.001,11.1157,low
0.001,9.7092,low
0.0075,13.2434,high
0.001,8.5639,low
1.5914,17.0036,high
0.0778,16.1671,high
0.001,10.6191,low
60.4112,15.9873,high
0.1755,14.0741,high
2.9333,13.5213,high
0.001,9.8876,low
0.001,10.4418,low
0.001,10.7711,low
23.444,10.963,high
0.001,10.0948,low
0.001,10.6405,low
21.2277,18.5224,high
0.1829,12.2551,high
776.3484,17.0722,high
0.0029,16.1651,high
2.8086,15.8364,high
0.001,9.0984,low
0.001,9.941,low
24.0871,17.3613,high
6.2222,14.223,high
0.001,9.7734,low
0.001,10.221,low
0.0214,16.2773,high
0.027,12.8788,high
0.7875,15.3694,high
0.001,10.1967,low
0.001,9.3527,low
0.001,10.6485,low
1.0682,12.3657,high
0.001,9.0591,low
1.8953,14.8451,high
40.3731,14.177,high
0.001,10.2568,low
0.001,10.1436,low
0.1809,13.5757,high
0.0024,15.8488,high
0.001,9.846,low
8.1579,14.6687,high
1.4049,12.5431,high
0.001,9.5866,low
0.001,9.732,low
0.001,9.8959,low
0.0321,13.5337,high
0.001,10.6239,low
0.0984,17.9782,high
1.4402,13.3901,high
34.165,17.0834,high
10.0079,14.244,high
0.337,14.8487,high
0.0412,16.023,high
0.001,10.4909,low
19.3653,14.2139,high
0.001,10.4079,low
0.001,10.2781,low
0.001,9.9611,low
1523.3316,13.8281,high
0.929,14.4404,high
2282.138,15.6934,high
0.001,10.383,low
0.001,10.1401,low
0.1373,15.8161,high
0.4964,12.1337,high
0.001,9.7586,low
0.001,9.8713,low
0.0023,17.2929,high
0.001,9.5397,low
22.8472,14.7931,high
0.001,9.615,low
0.001,9.4032,low
1.9291,14.1036,high
0.001,9.9135,low
0.001,10.6821,low
0.001,10.1616,low
70.1522,15.1202,high
0.0012,14.8718,high
0.001,10.0339,low
0.001,9.34,low
0.001,9.1196,low
0.001,10.1959,low
0.9566,15.8481,high
0.001,10.821,low
0.001,10.8037,low
0.001,10.7973,low
0.001,10.4876,low
0.001,9.6685,low
0.001,10.212,low
0.2651,18.711,high
804.3703,15.6582,high
0.001,10.3262,low
0.001,9.9854,low
18.6649,12.9705,high
0.001,9.8523,low
8.2911,18.5636,high
0.0312,17.3072,high
5.6285,17.3945,high
0.001,10.8196,low
0.3545,15.8404,high
0.0053,16.1131,high
0.001,10.1395,low
6.8975,12.329,high
1807.5152,15.3704,high
0.001,10.6509,low
1.0329,15.3574,high
9.379,12.9682,high
0.001,10.0543,low
12.4913,16.6992,high
0.0056,13.3521,high
0.001,9.7244,low
0.001,9.8388,low
0.2098,15.1045,high
26.4386,15.7467,high
0.001,9.7324,low
1437.2256,13.287,high
0.001,11.1053,low
10.3002,15.9509,high
0.001,9.6941,low
0.001,10.1003,low
37.0287,16.3579,high
3036819.8228,17.0033,high
0.001,11.2791,low
0.001,9.4268,low
36.0099,12.002,high
10.5623,16.2062,high
1.092,18.2583,high
4.4059,16.0753,high
0.0016,18.5099,high
0.001,10.0668,low
549.5565,13.3361,high
0.5951,15.9287,high
0.1781,11.063,high
0.001,9.8541,low
0.018,17.2746,high
0.001,10.3194,low
0.001,9.8488,low
0.9478,15.0827,high
2.6123,11.7769,high
0.001,9.677,low
3.8921,14.7021,high
83.6177,16.3854,high
22.1858,16.4793,high
0.001,10.4,low
0.001,10.2614,low
0.001,10.5945,low
470.1736,13.3063,high
0.001,10.0393,low
0.001,10.8559,low
